Index, LivingSpacesqft, Beds, Baths, Zip, Year,Year1, List Price,Currentyear
1,2222,3,3.5,32312,1981,38,250000,2019
2,1628,3,2,32308,2009,10,185000,2019
3,3824,5,4,32312,1954,65,399000,2019
4,1137,3,2,32309,1993,26,150000,2019
5,3560,6,4,32309,1973,46,315000,2019
6,2893,4,3,32312,1994,25,699000,2019
7,3631,4,3,32309,1996,23,649000,2019
8,2483,4,3,32312,2016,3,399000,2019
9,2400,4,4,32312,2002,17,613000,2019
10,1997,3,3,32311,2006,13,295000,2019
11,2097,4,3,32311,2016,3,290000,2019
12,3200,5,4,32312,1964,55,465000,2019
13,4892,5,6,32311,2005,14,799900,2019
14,1128,2,1,32303,1955,64,89000,2019
15,1381,3,2,32301,2006,13,143000,2019
16,4242,4,5,32303,2007,12,569000,2019
17,2533,3,2,32310,1991,28,365000,2019
18,1158,3,2,32303,1993,26,155000,2019
19,2497,4,4,32309,1990,29,289000,2019
20,4010,5,3,32309,2002,17,549900,2019
